file_id,score_level,num_sent,word_count,average_sent_length,count_the,count_this,count_that,count_these,count_those,count_a,count_an,count_one,freq_the,freq_this,freq_that,freq_these,freq_those,freq_a,freq_an,freq_one
1000025,high,27,414,0.06521739130434782,23,4,5,0,0,9,0,0,0.05555555555555555,0.00966183574879227,0.012077294685990338,0.0,0.0,0.021739130434782608,0.0,0.0
1000599,medium,22,310,0.07096774193548387,16,0,8,0,1,10,0,1,0.05161290322580645,0.0,0.025806451612903226,0.0,0.0032258064516129032,0.03225806451612903,0.0,0.0032258064516129032
1001566,low,12,233,0.05150214592274678,11,2,3,0,0,4,0,6,0.04721030042918455,0.008583690987124463,0.012875536480686695,0.0,0.0,0.017167381974248927,0.0,0.02575107296137339
1003222,medium,19,326,0.05828220858895705,32,1,1,0,0,9,1,0,0.09815950920245399,0.003067484662576687,0.003067484662576687,0.0,0.0,0.027607361963190184,0.003067484662576687,0.0
1004306,high,20,340,0.058823529411764705,17,0,5,1,0,4,2,0,0.05,0.0,0.014705882352941176,0.0029411764705882353,0.0,0.011764705882352941,0.0058823529411764705,0.0
1004652,high,17,306,0.05555555555555555,9,2,5,0,0,4,1,10,0.029411764705882353,0.006535947712418301,0.016339869281045753,0.0,0.0,0.013071895424836602,0.0032679738562091504,0.032679738562091505
1004862,medium,20,273,0.07326007326007326,4,1,9,0,1,1,1,4,0.014652014652014652,0.003663003663003663,0.03296703296703297,0.0,0.003663003663003663,0.003663003663003663,0.003663003663003663,0.014652014652014652
1005142,medium,17,351,0.04843304843304843,34,1,2,1,0,5,2,0,0.09686609686609686,0.002849002849002849,0.005698005698005698,0.002849002849002849,0.0,0.014245014245014245,0.005698005698005698,0.0
1006179,medium,28,316,0.08860759493670886,9,3,8,0,0,3,0,0,0.028481012658227847,0.00949367088607595,0.02531645569620253,0.0,0.0,0.00949367088607595,0.0,0.0
1007981,high,22,349,0.06303724928366762,21,3,4,0,0,15,0,0,0.06017191977077364,0.008595988538681949,0.011461318051575931,0.0,0.0,0.04297994269340974,0.0,0.0
1010664,high,14,326,0.04294478527607362,19,3,2,0,1,7,0,7,0.05828220858895705,0.009202453987730062,0.006134969325153374,0.0,0.003067484662576687,0.02147239263803681,0.0,0.02147239263803681
1010932,medium,12,299,0.04013377926421405,11,0,4,2,2,3,0,3,0.03678929765886288,0.0,0.013377926421404682,0.006688963210702341,0.006688963210702341,0.010033444816053512,0.0,0.010033444816053512
1011110,medium,29,362,0.08011049723756906,37,0,3,2,0,3,0,0,0.10220994475138122,0.0,0.008287292817679558,0.0055248618784530384,0.0,0.008287292817679558,0.0,0.0
1011364,medium,11,341,0.03225806451612903,13,1,5,0,0,18,1,0,0.03812316715542522,0.002932551319648094,0.01466275659824047,0.0,0.0,0.05278592375366569,0.002932551319648094,0.0
1011418,low,17,211,0.08056872037914692,14,1,8,0,0,5,0,0,0.06635071090047394,0.004739336492890996,0.037914691943127965,0.0,0.0,0.023696682464454975,0.0,0.0
1011426,medium,19,336,0.05654761904761905,40,3,3,1,1,2,0,1,0.11904761904761904,0.008928571428571428,0.008928571428571428,0.002976190476190476,0.002976190476190476,0.005952380952380952,0.0,0.002976190476190476
1011805,medium,18,306,0.058823529411764705,14,1,4,0,0,4,1,0,0.0457516339869281,0.0032679738562091504,0.013071895424836602,0.0,0.0,0.013071895424836602,0.0032679738562091504,0.0
1012427,medium,27,301,0.08970099667774087,6,5,3,0,0,6,2,0,0.019933554817275746,0.016611295681063124,0.009966777408637873,0.0,0.0,0.019933554817275746,0.006644518272425249,0.0
1013669,low,4,229,0.017467248908296942,15,1,4,0,0,0,0,0,0.06550218340611354,0.004366812227074236,0.017467248908296942,0.0,0.0,0.0,0.0,0.0
1014998,medium,20,351,0.05698005698005698,21,4,5,1,0,8,1,0,0.05982905982905983,0.011396011396011397,0.014245014245014245,0.002849002849002849,0.0,0.022792022792022793,0.002849002849002849,0.0
1015056,medium,21,372,0.056451612903225805,15,0,2,4,0,7,0,2,0.04032258064516129,0.0,0.005376344086021506,0.010752688172043012,0.0,0.01881720430107527,0.0,0.005376344086021506
1017038,medium,22,408,0.05392156862745098,37,2,4,2,0,4,1,0,0.09068627450980392,0.004901960784313725,0.00980392156862745,0.004901960784313725,0.0,0.00980392156862745,0.0024509803921568627,0.0
1017608,high,16,344,0.046511627906976744,23,1,15,0,1,2,1,1,0.06686046511627906,0.0029069767441860465,0.0436046511627907,0.0,0.0029069767441860465,0.005813953488372093,0.0029069767441860465,0.0029069767441860465
1018958,medium,13,334,0.038922155688622756,8,3,15,0,2,17,0,0,0.023952095808383235,0.008982035928143712,0.04491017964071856,0.0,0.005988023952095809,0.05089820359281437,0.0,0.0
1019743,high,30,538,0.055762081784386616,30,3,8,0,0,15,0,1,0.055762081784386616,0.0055762081784386614,0.01486988847583643,0.0,0.0,0.027881040892193308,0.0,0.0018587360594795538
1020198,high,27,379,0.0712401055408971,16,0,1,3,0,17,0,0,0.04221635883905013,0.0,0.002638522427440633,0.0079155672823219,0.0,0.044854881266490766,0.0,0.0
1021281,medium,20,309,0.06472491909385113,18,3,5,0,0,5,0,0,0.05825242718446602,0.009708737864077669,0.016181229773462782,0.0,0.0,0.016181229773462782,0.0,0.0
1021707,high,18,414,0.043478260869565216,40,1,5,0,0,5,0,0,0.0966183574879227,0.0024154589371980675,0.012077294685990338,0.0,0.0,0.012077294685990338,0.0,0.0
1021877,medium,21,411,0.051094890510948905,8,2,4,1,0,24,2,7,0.019464720194647202,0.004866180048661801,0.009732360097323601,0.0024330900243309003,0.0,0.058394160583941604,0.004866180048661801,0.0170316301703163
1023952,medium,19,386,0.04922279792746114,51,5,2,3,0,3,0,0,0.13212435233160622,0.012953367875647668,0.0051813471502590676,0.007772020725388601,0.0,0.007772020725388601,0.0,0.0
1025558,high,10,322,0.031055900621118012,25,1,6,0,0,16,1,1,0.07763975155279502,0.003105590062111801,0.018633540372670808,0.0,0.0,0.049689440993788817,0.003105590062111801,0.003105590062111801
